Wall time,Time,Progress,Step,Norm loss,Value,Loss alpha,Loss alpha abs
1588299686,1266,0.7351248506,46751,0.009385811586,0.02800529,-0.00390816,0.00390816
1588299689,1269,0.736964589,46868,0.009565814205,0.02854238,-0.00053709,0.00053709
1588299692,1272,0.738725706,46980,0.03670116628,0.10950857,-0.08096619,0.08096619
1588299695,1275,0.7405025473,47093,0.001396928105,0.00416814,0.10534043,0.10534043
1588299698,1278,0.7423108372,47208,0.001818144087,0.00542496,-0.00125682,0.00125682
1588299701,1281,0.7441977483,47328,0.003210939864,0.00958077,-0.00415581,0.00415581
1588299704,1284,0.7460846594,47448,0.002734642927,0.0081596,0.00142117,0.00142117
1588299715,1295,0.7521699478,47835,0.01519453488,0.0453373,-0.0371777,0.0371777
1588299718,1298,0.7540568589,47955,0.005396351765,0.01610158,0.02923572,0.02923572
1588299721,1301,0.75594377,48075,0.006717983014,0.02004505,-0.00394347,0.00394347
1588299724,1304,0.7578306812,48195,0.0035767498,0.01067227,0.00937278,0.00937278
1588299727,1307,0.7596232467,48309,0.008215853213,0.02451438,-0.01384211,0.01384211
1588299730,1310,0.7614158123,48423,0.003118114964,0.0093038,0.01521058,0.01521058
1588299742,1322,0.7677684131,48827,0.003392839399,0.01012352,-0.00081972,0.00081972
1588299745,1325,0.7696238757,48945,0.02920437509,0.08713972,-0.0770162,0.0770162
1588299748,1328,0.7715107868,49065,0.002530962367,0.00755186,0.07958786,0.07958786
1588299751,1331,0.7733033524,49179,0.003226215738,0.00962635,-0.00207449,0.00207449
1588299754,1334,0.775095918,49293,0.008777189649,0.02618929,-0.01656294,0.01656294
1588299757,1337,0.7769042078,49408,0.006946853014,0.02072795,0.00546134,0.00546134
1588299769,1349,0.7837285364,49842,0.005445725214,0.0162489,0.00447905,0.00447905
1588299772,1352,0.7855997233,49961,0.01030934175,0.03076091,-0.01451201,0.01451201
1588299775,1355,0.7874551859,50079,0.005079141094,0.01515509,0.01560582,0.01560582
1588299779,1359,0.789342097,50199,0.003687015606,0.01100128,0.00415381,0.00415381
